direction,species,accession,label,score,gene_disjoint
human_to_target,mouse,A2AQ25,0,0.00715955043051205,True
human_to_target,mouse,A2AQ25,0,0.011503928508702329,True
human_to_target,mouse,A2AQ25,0,0.017436284016279325,True
human_to_target,mouse,A2AQ25,0,0.01054103608056284,True
human_to_target,mouse,A2AQ25,0,0.007000246648702914,True
human_to_target,mouse,A2AQ25,0,0.004832048961321301,True
human_to_target,mouse,A2AQ25,0,0.005008728964259508,True
human_to_target,mouse,A2AQ25,0,0.003044675838915587,True
human_to_target,mouse,A2AQ25,0,0.011364481074106477,True
human_to_target,mouse,A2AQ25,0,0.01075444684574499,True
human_to_target,mouse,A2AQ25,0,0.013049717276496014,True
human_to_target,mouse,A2AQ25,0,0.02575063076709173,True
human_to_target,mouse,A2AQ25,0,0.038741166354795804,True
human_to_target,mouse,A2AQ25,0,0.016974807945351267,True
human_to_target,mouse,A2AQ25,0,0.028741715294788507,True
human_to_target,mouse,A2AQ25,0,0.10308007484323786,True
human_to_target,mouse,A2AQ25,0,0.03653766111324458,True
human_to_target,mouse,A2AQ25,0,0.04472689977274194,True
human_to_target,mouse,A2AQ25,0,0.05543080941106734,True
human_to_target,mouse,A2AQ25,0,0.03320795242223981,True
human_to_target,mouse,A2AQ25,0,0.041262789674575404,True
human_to_target,mouse,A2AQ25,0,0.03413090723835479,True
human_to_target,mouse,A2AQ25,0,0.014981692074830822,True
human_to_target,mouse,A2AQ25,0,0.007428850607058842,True
human_to_target,mouse,A2AQ25,0,0.004357363079976881,True
human_to_target,mouse,A2AQ25,0,0.0021910160552777876,True
human_to_target,mouse,A2AQ25,0,0.0023584988507979773,True
human_to_target,mouse,A2AQ25,0,0.00046512690509557385,True
human_to_target,mouse,A2AQ25,0,0.0007405206809787684,True
human_to_target,mouse,A2AQ25,0,0.02972069875039114,True
human_to_target,mouse,A2AQ25,0,0.04822151368895244,True
human_to_target,mouse,A2AQ25,0,0.15398215209832902,True
human_to_target,mouse,A2AQ25,0,0.13471929202286823,True
